Inference for Bugs model at "../Mi model JAGS simp4.txt", fit using jags,
 3 chains, each with 4e+05 iterations (first 2e+05 discarded), n.thin = 300
 n.sims = 1998 iterations saved
          mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
Loc[1]      1.734   0.069   1.599  1.688  1.734  1.780  1.867 1.003   690
Loc[2]      1.942   0.071   1.804  1.896  1.939  1.988  2.085 1.000  2000
alpha[1]    1.109  19.892 -50.888  0.296  1.840  3.239 40.483 1.007  2000
alpha[2]   -0.129   0.072  -0.270 -0.175 -0.130 -0.080  0.009 1.001  2000
alpha[3]   -0.086   0.197  -0.463 -0.221 -0.085  0.047  0.305 1.001  2000
alpha[4]    0.136   0.059   0.021  0.098  0.135  0.174  0.251 1.000  2000
alpha[5]   -0.446   0.099  -0.638 -0.513 -0.446 -0.380 -0.247 1.000  2000
alpha[6]    0.230   0.209  -0.179  0.090  0.232  0.372  0.637 1.001  2000
alpha[7]    0.143   0.126  -0.108  0.062  0.145  0.226  0.380 1.000  2000
alpha[8]    0.473   0.136   0.178  0.391  0.480  0.560  0.728 1.001  2000
alpha[9]   -0.218   0.115  -0.428 -0.296 -0.220 -0.142  0.018 1.000  2000
alpha[10]   0.217   0.139  -0.064  0.126  0.218  0.309  0.489 1.001  2000
delta      -2.510   0.624  -3.604 -2.954 -2.548 -2.108 -1.160 1.000  2000
e.obs[1]    0.414   0.140   0.148  0.319  0.413  0.504  0.697 1.001  2000
e.obs[2]   -0.087   0.108  -0.303 -0.156 -0.087 -0.019  0.125 1.002  1400
e.obs[3]    0.832   0.097   0.644  0.768  0.829  0.895  1.033 1.003   830
e.obs[4]   -0.159   0.122  -0.396 -0.241 -0.159 -0.078  0.078 1.003   740
e.obs[5]    0.816   0.138   0.548  0.726  0.814  0.906  1.094 1.001  2000
e.obs[6]   -0.752   0.137  -1.013 -0.842 -0.752 -0.664 -0.475 1.001  2000
e.obs[7]    0.143   0.103  -0.050  0.073  0.141  0.210  0.357 1.002  1000
e.obs[8]    0.127   0.149  -0.174  0.032  0.127  0.222  0.411 1.002   950
e.obs[9]    0.721   0.112   0.507  0.647  0.718  0.793  0.954 1.001  1600
e.obs[10]  -0.067   0.171  -0.408 -0.172 -0.066  0.043  0.261 1.002  2000
e.obs[11]  -0.174   0.117  -0.397 -0.252 -0.175 -0.099  0.064 1.001  1900
e.obs[12]   0.100   0.202  -0.292 -0.036  0.099  0.234  0.490 1.001  1600
e.obs[13]  -0.099   0.132  -0.355 -0.184 -0.098 -0.015  0.162 1.001  1900
e.obs[14]  -0.462   0.188  -0.829 -0.587 -0.459 -0.336 -0.087 1.000  2000
e.obs[15]   0.643   0.131   0.371  0.562  0.646  0.729  0.894 1.000  2000
e.obs[16]  -0.125   0.167  -0.455 -0.234 -0.120 -0.015  0.199 1.001  2000
e.obs[17]  -0.787   0.098  -0.989 -0.852 -0.785 -0.724 -0.596 1.001  2000
e.obs[18]  -0.380   0.103  -0.584 -0.449 -0.378 -0.313 -0.182 1.001  2000
e.obs[19]  -0.130   0.130  -0.388 -0.213 -0.130 -0.041  0.118 1.001  2000
e.obs[20]   0.044   0.114  -0.182 -0.029  0.043  0.122  0.260 1.001  2000
e.obs[21]  -0.166   0.191  -0.538 -0.292 -0.162 -0.039  0.207 1.001  2000
e.obs[22]  -0.275   0.197  -0.664 -0.401 -0.279 -0.145  0.118 1.001  2000
e.obs[23]  -0.112   0.158  -0.418 -0.217 -0.111 -0.009  0.200 1.001  2000
e.obs[24]   0.005   0.129  -0.248 -0.081  0.005  0.091  0.258 1.000  2000
e.obs[25]  -0.045   0.159  -0.361 -0.144 -0.046  0.058  0.262 1.000  2000
e.obs[26]  -0.121   0.178  -0.510 -0.232 -0.114  0.001  0.197 1.002  1300
e.obs[27]   0.051   0.108  -0.166 -0.020  0.050  0.124  0.266 1.001  2000
e.obs[28]   0.659   0.107   0.438  0.590  0.659  0.731  0.870 1.001  2000
